id,x_topo,y_topo
W1559427309,-6.745603,-0.75265825
W2045820612,-6.7373786,-0.7479494
W1984212555,3.2054038,1.5891039
W2132117478,3.684206,17.570707
W1526242170,-6.7382693,-0.7523953
W2015489438,-2.557143,20.519318
W2103253409,-4.509707,7.326557
W2054030830,-4.5064473,7.3247566
W2167582850,1.8266318,3.1504772
W2033034731,3.0188177,0.9159574
W2014921255,2.060444,1.7753508
W2006665060,3.4902575,2.2942345
W1963526978,3.4846425,2.285427
W1976381195,2.8750184,0.0051035415
W2150312211,2.4948413,2.4274354
W979639756,3.4940867,2.2808945
W2158307450,2.685213,0.9034004
W2111110357,3.0292642,2.7264225
W1559410370,3.5177505,2.2888393
W1770006921,3.461653,2.2793026
W2163422381,3.125067,1.1971577
W2327525319,2.1225126,0.7533038
W4255692800,2.066222,0.8621137
W6638408539,-0.8805733,7.487789
W2045454496,12.108457,3.7546704
W1993553450,0.18308207,17.140934
W4243235810,0.21196833,17.17063
W4238957295,0.7332,3.2836332
W1978841917,1.925753,1.1431359
W2047046780,2.1477098,0.6587852
W2064751934,0.9735894,2.4292295
W2069303979,5.8202167,9.610981
W2034611273,13.601438,6.547261
W2157822836,0.21110284,17.171516
W2082612735,1.3833754,2.1105893
W4300658753,0.21151264,17.172863
W4239553209,0.20297782,17.177958
W1976160686,1.634719,1.5744009
W1793416905,-0.88819647,7.484432
W3140725035,0.20983508,17.172657
W1518632544,-5.7598386,6.9845424
W2790115383,5.2570806,8.816186
W4234610156,7.7237635,21.039833
W2256778743,11.634085,-10.799989
W2074652009,11.634136,-10.800064
W2168819638,16.705742,18.202711
W2024625847,3.117939,1.4656752
W2078005741,2.1867979,2.3183103
W2103360877,10.718681,19.948654
W2011715781,10.730675,19.95292
W2030497669,-0.045454938,5.5138235
W2043206760,6.6954355,18.960949
W2247485652,2.935511,0.7385467
W2026989182,13.154408,5.4051523
W2026786095,1.9493045,2.6725626
W1523882855,2.9107409,4.6699247
W1967323777,11.748003,6.5717177
W2020876314,11.748622,6.578069
W2029243826,11.747641,6.575421
W196832304,11.748568,6.5762415
W2059802632,11.749224,6.575438
W1970746524,-0.20220093,5.080868
W372599002,11.74875,6.573781
W2158240273,12.026172,3.7152774
W4230241830,-9.500326,12.4590025
W2004869720,3.342657,-3.8603752
W2022460688,2.964107,1.1823287
W65837606,3.3430705,-3.8700907
W4239698279,1.3927518,1.9708155
W2059356072,3.3279495,-3.8532927
W2036857156,9.377913,5.657856
W4246727630,0.6744265,2.4419582
W1495029255,9.521058,5.6944537
W2066605803,-0.3398457,5.746031
W3144112538,3.360104,-3.8884332
W4246423046,0.7046824,5.9328837
W168952,0.29407224,2.4903545
W2015237589,-9.50051,12.458774
W2064941560,7.0659385,4.7037787
W2057600146,10.237519,-0.48398283
W2225791373,3.376191,-3.887606
W2102022918,4.8346257,-4.89977
W2017032078,3.346079,-3.89177
W2001251394,3.354671,-3.8700376
W2173925477,3.3130965,-3.8360314
W1991651582,9.343274,5.6382937
W3085563693,2.77005,-0.008943852
W2335763069,2.8626502,-0.03333623
W1976638764,2.7228966,-0.010990775
W2047222181,3.1041598,0.10037974
W2031165479,2.7804375,-0.02502732
W2030302553,3.1777365,0.16641952
W2166617205,2.864884,-0.02955109
W6671038218,3.199511,0.18945903
W2118413530,3.024969,0.11620034
W2082831927,3.060842,0.0105604455
W4242274056,4.1906,4.73651
W2112950300,11.146474,6.258866
W2082405558,19.928467,-3.8190498
W2007713290,11.697113,6.444856
W4237648096,1.3574102,2.0079072
W1995107997,15.413033,10.556757
W4230175651,15.41288,10.558718
W2122909153,2.9274147,2.3233263
W1969074290,3.6054041,2.860951
W2068800252,15.413102,10.558428
W2010813131,0.73705435,4.302738
W4299298909,1.54544,1.762111
W2126521141,2.2743301,0.69565696
W4238212493,15.4131565,10.558096
W4234789860,16.046144,17.133137
W1967741655,-5.3986535,11.618662
W4252202257,21.275732,1.4095954
W2052165970,3.7175705,-1.8467829
W1996376324,-5.5675397,11.449668
W2019975190,3.187928,2.4705818
W2030269333,13.209745,5.3444767
W2045155153,-5.7620845,11.245207
W2145935370,-5.5561585,11.464656
W2080742301,-5.614573,11.399263
W2052884398,-5.6398764,11.365104
W1966470981,-5.575578,11.436445
W1977400716,-0.87994504,6.3515167
W4213368568,-5.733046,11.269773
W1500694187,-5.6330066,11.37311
W648668392,-5.485538,11.530714
W2480722803,-5.5546856,11.464687
W4235921784,-5.5842514,11.432171
W1983231151,-5.703196,11.299471
W1994321834,17.430485,14.613966
W2135323728,-0.0999179,5.2203045
W2023751161,2.7620103,2.7480888
W1515192744,-0.2486707,5.4984455
W2053785749,6.3118896,21.149693
W2042996465,6.3102427,21.152393
W2085224306,4.071968,5.001973
W1592316977,9.899689,-8.889638
W2012460978,3.3170433,0.47025388
W2138624212,1.2974361,1.9354923
W2050446273,9.899738,-8.889446
W3135227555,2.0484178,4.259698
W2153935912,1.22276,3.7427034
W2116894818,0.43715367,3.3321688
W2172280673,3.1025257,0.40474984
W2026058811,1.9775419,1.3295703
W2084034493,9.899811,-8.889404
W2117005760,9.89928,-8.88997
W2073574385,-2.680048,10.607356
W2068278120,0.7034916,11.186758
W2156163301,9.900141,-8.893463
W2140275771,0.8326644,4.465354
W1583686354,9.900315,-8.889882
W4237685258,-4.408907,-3.720688
W1970826919,-4.5794234,-9.12275
W2502928391,-8.243817,-1.2004243
W2091637389,11.634062,-10.799942
W1979741733,0.12226545,3.5619915
W4246631248,20.324114,-2.9775803
W2043172829,1.7296329,1.3914084
W1587413890,-10.711455,11.083924
W630543729,15.118662,16.330713
W3157309037,15.132591,16.341278
W2108458429,2.7377136,3.7702289
W2492509886,15.1245,16.335285
W2054901814,2.0635543,1.0797287
W2172127625,0.82473737,3.083536
W2178244459,12.198891,3.8205895
W1749628144,15.109334,16.31964
W1977817023,5.2344623,3.5629508
W2038043100,15.607337,5.088301
W2003173111,15.652861,5.172654
W2033647758,15.659599,5.1432266
W1982687359,15.6003475,5.08893
W2081089060,15.623923,5.104949
W2096619076,0.17797771,5.3201537
W1989708343,15.656968,5.139691
W2024007498,-8.618195,5.645678
W1971409998,12.373487,3.9630146
