degree,eigenvector,betweenness,clustering,pagerank,x_proj,y_proj,node_id
1,-8.347861490000066e-20,0.0,0.0,1.1437384115470352e-05,-21.236328,2.5714097,W2072921694
22,-2.6847031300476997e-14,0.0,0.0735930735930736,1.5302814969872684e-05,6.01263,5.712995,W1972170794
18,-6.599244853176637e-15,0.0,0.08496732026143791,1.5353721374973513e-05,5.998915,5.568472,W2040641857
1,-7.150238101571105e-22,0.0,0.0,1.1437384115470352e-05,2.1229832,30.66297,W1880378015
7,-2.8814063422214188e-15,0.0,0.0,1.2970211283343056e-05,2.387804,5.3881955,W1998871699
18,0.0062213979232343545,0.0,0.013071895424836602,1.6578664100528627e-05,6.420701,4.997592,W2025320861
1,-2.602520122837463e-20,0.0,0.0,1.1437384115470352e-05,-16.012766,14.855807,W2275773297
1,6.143275074346263e-20,0.0,0.0,1.1437384115470352e-05,3.654704,16.268593,W2008416172
5,0.0023655489997620152,0.0,0.1,1.271012983552792e-05,4.594789,3.797032,W2169371330
9,-6.828668148985968e-14,0.0,0.027777777777777776,1.4123459166468348e-05,5.08655,4.7513285,W1971784203
3,1.4321213974777618e-19,0.0,0.0,1.2117824905013818e-05,8.919329,9.036278,W1565347903
15,-7.942639128513209e-16,0.0,0.10476190476190476,1.4390366607641323e-05,5.452749,5.1084547,W77612647
81,0.0018638647280017598,0.0,0.022530864197530864,3.48294880016828e-05,8.358966,7.638809,W1996136679
43,0.0023655489997593715,0.0,0.04318936877076412,1.9105360976388233e-05,7.439617,7.160159,W2152825437
1,-1.088619642057832e-19,0.0,0.0,1.1437384115470352e-05,3.6548245,16.268578,W3035258717
145,0.009545739370455927,0.0,0.01503831417624521,5.518512709350479e-05,8.533612,7.537542,W2155843307
1,-1.4567759827848803e-19,0.0,0.0,1.1437384115470352e-05,3.654763,16.268526,W1606698682
30,0.001863864728581731,0.0,0.034482758620689655,2.071301608026766e-05,7.7836423,6.8091164,W2264140324
23,-3.674020629360801e-14,0.0,0.019762845849802372,1.908804862743013e-05,7.549558,6.7193904,W2801830100
7,-4.97420408261419e-20,0.0,0.047619047619047616,1.1951967462562598e-05,3.0450578,5.1337657,W2163035873
1,9.871330481148694e-20,0.0,0.0,1.2606891722498184e-05,-14.037514,14.889476,W2021497034
1,1.6550077378815286e-20,0.0,0.0,1.2606891722498184e-05,-14.03753,14.889502,W1970222481
1,6.736298440669546e-20,0.0,0.0,1.2606891722498184e-05,-16.358854,8.471715,W2095210619
34,9.961399286634797e-21,0.0,0.0,1.0969581072659219e-05,2.710857,8.411615,W1979983982
1,-9.512480465126003e-20,0.0,0.0,1.1258518246160212e-05,-5.9522896,16.384394,W2063271381
1,7.331755496399733e-20,0.0,0.0,1.1258518246160212e-05,11.540734,-15.821316,W2075507349
3,-1.9032556446943588e-19,0.0,0.0,1.2378046895622752e-05,-0.005953469,3.5675251,W2060258034
6,0.005971619301746949,0.0,0.0,1.6085040700739622e-05,6.333784,4.9653997,W2083632529
1,-5.579468546906895e-20,0.0,0.0,1.1258518246160212e-05,26.530703,-0.33568278,W1985712644
4,0.001062542240389269,0.0,0.0,1.2537631880126883e-05,1.3415046,4.521299,W2075301287
1,3.03713218146604e-20,0.0,0.0,1.1258518246160212e-05,-17.326752,11.310284,W2087240479
10,0.00024261741938605666,0.0,0.0,1.589452164631799e-05,6.4318514,5.386196,W2074429597
7,0.009204090903359302,0.0,0.0,1.4973258592154412e-05,6.3307133,4.7485647,W2054561071
1,1.239457609146926e-19,0.0,0.0,1.1258518246160212e-05,28.184906,17.62299,W2104445502
1,9.021297754415236e-20,0.0,0.0,1.1258518246160212e-05,24.836603,-10.750587,W2018572450
1,2.5368745613037647e-20,0.0,0.0,1.1258518246160212e-05,12.575863,-10.586809,W2073447155
3,-2.829080076210867e-17,0.0,0.3333333333333333,1.2381245548906932e-05,2.9815793,2.7703528,W2060856474
1,1.161195291141293e-19,0.0,0.0,1.1258518246160212e-05,28.184914,17.623032,W2114575329
1,1.364473294494479e-19,0.0,0.0,1.1258518246160212e-05,25.652803,-5.9705706,W2003714419
1,-4.932126237666829e-20,0.0,0.0,1.1258518246160212e-05,27.388174,8.632426,W2172135854
9,0.00655638414309275,0.0,0.027777777777777776,1.6014319504571373e-05,6.3511305,4.954593,W2002945353
1,1.9242051224048513e-20,0.0,0.0,1.1258518246160212e-05,-5.952296,16.384403,W2078233697
1,1.3943214973748773e-19,0.0,0.0,1.1258518246160212e-05,23.339264,-13.577961,W2169283568
6,2.4259561827501724e-19,0.0,0.13333333333333333,1.3840531151898326e-05,5.4561334,3.9043024,W2073220759
1,1.6139897496238703e-19,0.0,0.0,1.1258518246160212e-05,23.33927,-13.577964,W2144243998
2,-8.373049388777363e-16,0.0,0.0,1.1585980376128005e-05,-4.3803363,1.4116372,W2121399145
2,-5.097664005975636e-20,0.0,0.0,1.1539200071846891e-05,9.012252,-1.6165458,W2024103887
4,1.8962250731336034e-19,0.0,0.0,1.2394240077873907e-05,1.019576,5.741168,W1980589726
3,-1.0262371473682898e-15,0.0,0.3333333333333333,1.1865035060796211e-05,4.8894777,1.7907757,W1779898155
5,0.0010625422403883423,0.0,0.0,1.2942934063504465e-05,1.5245309,4.732828,W2005260525
1,-8.560417192747491e-20,0.0,0.0,1.1258518246160212e-05,23.390537,13.337692,W2037071852
2,-7.857951207736333e-20,0.0,0.0,1.163635916535382e-05,2.28999,3.072065,W2077480559
6,0.005971619301751164,0.0,0.0,1.361333550279913e-05,5.846949,4.48589,W2044172534
1,9.366814907269897e-20,0.0,0.0,1.1258518246160212e-05,-5.9523115,16.384409,W2142921575
3,5.538378970169451e-20,0.0,0.0,1.0969581072659219e-05,-1.7449412,-2.8447955,W4230981185
20,-9.344373131196073e-14,0.0,0.23684210526315788,2.322360989997098e-05,8.021953,7.1332192,W2055635454
13,-3.2410933167259563e-13,0.0,0.038461538461538464,1.969718115853312e-05,7.630709,6.558126,W2029422417
72,-6.649937295079014e-13,0.0,0.028951486697965573,3.8219001295387315e-05,8.397295,7.6003923,W4242628327
38,-2.999988313639981e-13,3.1910927283292147e-06,0.051209103840682786,1.8838264698812502e-05,7.1141887,7.180928,W4250305371
9,7.524921492890608e-05,0.0,0.1111111111111111,1.686213025098599e-05,6.8844924,5.7207475,W1977554562
1,-1.344795701422967e-13,0.0,0.0,1.1725262911046433e-05,-5.3237567,-7.6549397,W2007457167
1,-1.344775728936971e-13,0.0,0.0,1.1725262911046433e-05,2.1478171,-6.731543,W2125078521
